,Sample,Intrusion,Locality,Petrology,Outcrop,SiO2,TiO2,Al2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,F,S,H2O_PLUS
0,Sa-1,Sazava,Mrac,bi-amph quartz diorite,working quarry,59.98,0.63,16.42,5.46,1.35,0.19,3.21,7.04,2.52,2.5,0.16,0.18,,,1.18
1,Sa-2,Sazava,Mrac,bi-amph quartz diorite,working quarry,55.17,0.71,17,5.26,2.66,0.16,3.67,8.22,3.36,1.7,0.17,0.04,,0.05,1.13
2,Sa-3,Sazava,Mrac,bi-amph quartz diorite,working quarry,55.09,0.75,17.59,5.81,2.13,0.15,3.52,8.2,2.83,2.04,0.21,0.09,0.07,0.05,1.19
3,Sa-4,Sazava,Mrac,bi-amph quartz diorite,working quarry,50.72,0.83,17.57,7.65,2.19,0.24,5.18,9.92,2.83,1.6,0.19,0.09,,,1.17
4,Sa-7,Sazava,Teletin,bi-amph tonalite,disused quarry,57.73,0.95,18.82,5.43,1,0.12,2.82,7.47,2.54,1.67,0.37,0.13,,0.12,1.14
5,SaD-1,basic,Teletin,bi-amph quartz diorite,disused quarry,52.9,1.35,18.23,7.24,1.47,0.16,3.89,8.55,2.76,1.45,0.26,0.06,0.07,0.04,1.53
6,Gbs-1,basic,Pecerady,px-amph gabbro,disused quarry,49.63,0.76,13.34,5.69,3.22,0.17,8.59,14.64,1.67,1.07,0.1,0.04,,0.03,1.61
7,Gbs-20,basic,Pecerady,px-amph gabbro,disused quarry,51.72,0.67,14.17,6.43,2.44,0.16,7.47,11.44,1.97,1.38,0.14,0.05,0.09,0.36,1.36
8,Gbs-2,basic,Vavretice,amph-bi qtz gabbrodiorite,disused quarry,48.84,0.34,21.64,2.74,3.28,0.13,5.11,13.75,1.78,0.83,0.04,0.51,,,1.57
9,Gbs-3,basic,Brtnice,amph-bi qtz gabbrodiorite,water supply gallery,55.8,0.8,16.98,6.22,2.79,0.25,3.16,7.22,3.07,1.45,0.2,0.1,,0.01,1.35
10,Po-1,Pozary,Krhanice,bi trondhjemite,working quarry,62.95,0.28,20.02,1.65,0.67,0.05,0.55,6.61,3.91,1.99,0.07,0.35,,,0.71
11,Po-3,Pozary,Prosecnice,bi trondhjemite,working quarry,68.3,0.28,15.29,2.12,0.4,0.04,1.77,3.76,3.63,1.95,0.07,,,,0.5
12,Po-4,Pozary,Prosecnice,bi trondhjemite,working quarry,71.09,0.3,15.09,2.12,0.38,0.06,0.52,3.75,3.68,1.87,0.07,0.27,,,0.71
13,Po-5,Pozary,Prosecnice,bi trondhjemite,working quarry,71.42,0.3,15.04,2.41,0.47,0.05,0.52,3.67,2.58,1.79,0.07,0.17,,,0.46
